Subject;trial_id;condition_id;object_number;duration;distance;hit_try;letter;input_letters;right_letters;levensthein_distance;buchstabe_1;buchstabe_2;buchstabe_3;buchstabe_4;buchstabe_5;buchstabe_6;buchstabe_7
1;1;1;1;2.087982;180;1;B;;B;;;;;;;;
1;1;1;2;1.474548;-108;1;D;;BD;;;;;;;;
1;1;1;3;1.411926;108;1;C;;BDC;;;;;;;;
1;1;1;4;1.488586;-90;1;D;;BDCD;;;;;;;;
1;1;1;5;1.744202;144;1;A;;BDCDA;;;;;;;;
1;1;1;6;4.366302;162;3;D;;BDCDAD;;;;;;;;
1;1;1;7;1.938568;126;1;D;BCDBDCC;BDCDADD;4;1;0;0;0;0;0;0
1;2;1;1;1.821167;126;1;A;;A;;;;;;;;
1;2;1;2;1.678345;108;1;A;;AA;;;;;;;;
1;2;1;3;2.222076;-162;2;B;;AAB;;;;;;;;
1;2;1;4;1.500061;108;1;B;;AABB;;;;;;;;
1;2;1;5;1.68924;-162;1;B;;AABBB;;;;;;;;
1;2;1;6;0.5725098;36;1;B;;AABBBB;;;;;;;;
1;2;1;7;1.377197;-126;1;D;AABBBCD;AABBBBD;1;1;1;1;1;1;0;1
1;3;1;1;1.755188;162;1;C;;C;;;;;;;;
1;3;1;2;1.522186;-144;1;C;;CC;;;;;;;;
1;3;1;3;1.221222;-108;1;A;;CCA;;;;;;;;
1;3;1;4;3.692413;126;3;D;;CCAD;;;;;;;;
1;3;1;5;1.477142;90;1;C;;CCADC;;;;;;;;
1;3;1;6;4.834015;162;3;C;;CCADCC;;;;;;;;
1;3;1;7;1.978546;-144;1;D;CCADCCD;CCADCCD;0;1;1;1;1;1;1;1
1;4;1;1;1.549072;144;1;A;;A;;;;;;;;
1;4;1;2;1.499908;-144;2;A;;AA;;;;;;;;
1;4;1;3;1.656006;-162;1;B;;AAB;;;;;;;;
1;4;1;4;1.083191;90;2;A;;AABA;;;;;;;;
1;4;1;5;0.7323914;54;1;B;;AABAB;;;;;;;;
1;4;1;6;1.122559;-108;1;D;;AABABD;;;;;;;;
1;4;1;7;1.044373;-90;1;D;AACADBC;AABABDD;4;1;1;0;1;0;0;0
1;5;1;1;1.177307;108;1;A;;A;;;;;;;;
1;5;1;2;1.277557;-180;1;D;;AD;;;;;;;;
1;5;1;3;1.566803;-144;1;D;;ADD;;;;;;;;
1;5;1;4;3.889038;-144;3;D;;ADDD;;;;;;;;
1;5;1;5;1.555664;126;1;C;;ADDDC;;;;;;;;
1;5;1;6;1.012238;72;1;B;;ADDDCB;;;;;;;;
1;5;1;7;1.355194;108;1;A;ADDDCBA;ADDDCBA;0;1;1;1;1;1;1;1
1;6;1;1;1.281891;-162;1;A;;A;;;;;;;;
1;6;1;2;1.84375;180;1;A;;AA;;;;;;;;
1;6;1;3;1.533051;108;1;A;;AAA;;;;;;;;
1;6;1;4;0.8223877;-108;1;A;;AAAA;;;;;;;;
1;6;1;5;1.388916;126;1;C;;AAAAC;;;;;;;;
1;6;1;6;1.666321;108;1;C;;AAAACC;;;;;;;;
1;6;1;7;3.000092;90;2;D;AAAACCB;AAAACCD;1;1;1;1;1;1;1;0
1;7;1;1;1.40918;-144;1;A;;A;;;;;;;;
1;7;1;3;1.215881;-108;2;C;;ADC;;;;;;;;
1;7;1;4;1.598755;162;1;A;;ADCA;;;;;;;;
1;7;1;5;1.154846;-108;1;C;;ADCAC;;;;;;;;
1;7;1;6;2.436768;-180;1;D;;ADCACD;;;;;;;;
1;7;1;7;1.331848;-144;1;A;ADCACAB;ADCACDA;2;1;1;1;1;1;0;0
1;8;1;1;1.527283;90;2;A;;A;;;;;;;;
1;8;1;2;1.572632;126;1;C;;AC;;;;;;;;
1;8;1;3;0.9100342;-90;1;A;;ACA;;;;;;;;
1;8;1;4;1.166626;-126;1;B;;ACAB;;;;;;;;
1;8;1;5;3.411743;-162;2;B;;ACABB;;;;;;;;
1;8;1;6;2.433105;-162;1;D;;ACABBD;;;;;;;;
1;8;1;7;2.144409;-180;1;B;ACABBDB;ACABBDB;0;1;1;1;1;1;1;1
1;9;1;1;1.68866;180;1;A;;A;;;;;;;;
1;9;1;2;1.710815;144;1;D;;AD;;;;;;;;
1;9;1;3;1.766296;108;1;D;;ADD;;;;;;;;
1;9;1;4;1.14978;72;1;A;;ADDA;;;;;;;;
1;9;1;5;2.133057;162;1;D;;ADDAD;;;;;;;;
1;9;1;6;2.15625;144;1;D;;ADDADD;;;;;;;;
1;9;1;7;1.016907;-90;1;C;ADDADDC;ADDADDC;0;1;1;1;1;1;1;1
1;10;1;1;1.722046;-144;1;D;;D;;;;;;;;
1;10;1;2;1.722168;162;1;A;;DA;;;;;;;;
1;10;1;3;1.566345;-162;1;B;;DAB;;;;;;;;
1;10;1;4;2.144287;-162;1;C;;DABC;;;;;;;;
1;10;1;5;2.289307;-162;1;A;;DABCA;;;;;;;;
1;10;1;6;1.033691;108;1;A;;DABCAA;;;;;;;;
1;7;1;2;1.305847;72;2;D;;AD;;;;;;;;
